"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2014","82.09","80.42","82.37","80.05","354.84K","1.95"
"Oct 22, 2014","80.52","82.55","83.15","80.22","352.22K","-2.77"
"Oct 21, 2014","82.81","82.76","84.05","82.29","23.44K","0.12"
"Oct 20, 2014","82.71","83.13","83.48","81.55","83.70K","-0.05"
"Oct 17, 2014","82.75","83.18","84.45","82.44","174.14K","0.06"
"Oct 16, 2014","82.70","81.06","84.83","79.78","424.52K","1.12"
"Oct 15, 2014","81.78","82.32","82.45","80.01","487.72K","-0.07"
"Oct 14, 2014","81.84","84.98","85.60","81.32","475.83K","-4.55"
"Oct 13, 2014","85.74","85.20","85.87","84.07","292.35K","-0.09"
"Oct 10, 2014","85.82","84.39","86.29","83.59","396.53K","0.06"
"Oct 09, 2014","85.77","87.73","87.95","84.06","345.02K","-1.76"
"Oct 08, 2014","87.31","88.43","88.63","86.83","373.75K","-1.73"
"Oct 07, 2014","88.85","90.45","90.57","88.38","300.11K","-1.65"
"Oct 06, 2014","90.34","89.77","90.74","88.76","276.61K","0.67"
"Oct 03, 2014","89.74","91.38","91.79","89.36","342.80K","-1.40"
"Oct 02, 2014","91.01","90.74","91.54","88.18","449.55K","0.31"
"Oct 01, 2014","90.73","91.36","92.96","90.47","389.25K","-0.47"
"Sep 30, 2014","91.16","94.34","94.90","90.86","429.25K","-3.61"
"Sep 29, 2014","94.57","93.35","94.64","92.74","261.25K","1.10"
"Sep 26, 2014","93.54","92.47","93.86","92.23","258.89K","1.09"
"Sep 25, 2014","92.53","92.89","93.54","92.05","248.85K","-0.29"
"Sep 24, 2014","92.80","91.72","93.29","91.12","282.63K","1.35"
"Sep 23, 2014","91.56","90.70","92.09","90.58","247.77K","0.04"
"Sep 22, 2014","91.52","92.22","92.64","91.20","23.94K","-0.96"
"Sep 19, 2014","92.41","92.97","93.22","91.85","92.78K","-0.71"
"Sep 18, 2014","93.07","93.97","94.82","92.85","170.77K","-1.43"
"Sep 17, 2014","94.42","94.71","95.06","93.74","305.83K","-0.48"
"Sep 16, 2014","94.88","92.81","95.19","92.46","294.72K","2.11"
"Sep 15, 2014","92.92","92.13","93.03","90.63","260.51K","0.70"
"Sep 12, 2014","92.27","93.05","93.67","91.96","297.77K","-0.60"
"Sep 11, 2014","92.83","91.71","93.44","90.43","403.18K","1.27"
"Sep 10, 2014","91.67","92.79","93.03","91.22","295.31K","-1.16"
"Sep 09, 2014","92.75","93.11","93.94","92.52","275.88K","0.10"
"Sep 08, 2014","92.66","93.49","93.62","91.80","277.99K","-0.68"
"Sep 05, 2014","93.29","94.57","94.99","92.86","261.39K","-1.23"
"Sep 04, 2014","94.45","95.07","95.39","94.16","254.14K","-1.14"
"Sep 03, 2014","95.54","93.28","95.83","93.06","294.40K","2.86"
"Sep 02, 2014","92.88","95.81","95.91","92.68","320.36K","-3.08"
"Sep 01, 2014","95.83","95.76","95.90","95.51","0","-0.14"
"Aug 29, 2014","95.96","94.56","96.00","94.48","234.97K","1.49"
"Aug 28, 2014","94.55","93.75","94.71","93.45","262.29K","0.71"
"Aug 27, 2014","93.88","93.88","94.24","93.36","174.91K","0.02"
"Aug 26, 2014","93.86","93.36","94.35","93.35","176.28K","0.55"
"Aug 25, 2014","93.35","93.34","93.95","93.05","137.42K","-0.32"
"Aug 22, 2014","93.65","93.89","94.04","92.92","191.46K","-0.33"
"Aug 21, 2014","93.96","93.49","94.45","92.50","226.34K","-2.20"
"Aug 20, 2014","96.07","94.70","96.47","94.70","22.89K","1.68"
"Aug 19, 2014","94.48","96.56","97.05","94.26","109.04K","-2.00"
"Aug 18, 2014","96.41","97.10","97.16","95.81","157.54K","-0.97"
"Aug 15, 2014","97.35","95.50","97.41","95.32","269.75K","1.85"
"Aug 14, 2014","95.58","97.30","97.59","95.26","350.62K","-2.06"
"Aug 13, 2014","97.59","97.20","97.78","96.75","253.70K","0.23"
"Aug 12, 2014","97.37","97.84","97.94","96.81","242.59K","-0.72"
