Date,Open,High,Low,Close,Volume
23-Oct-14,8.50,8.50,8.28,8.32,16970
22-Oct-14,8.60,8.62,8.40,8.43,16838
21-Oct-14,8.35,8.68,8.35,8.61,18455
20-Oct-14,8.68,8.72,8.30,8.33,32419
17-Oct-14,8.91,8.91,8.58,8.62,32849
16-Oct-14,8.57,8.94,8.52,8.84,36552
15-Oct-14,8.60,8.92,8.35,8.87,99459
14-Oct-14,8.47,8.60,8.28,8.47,71760
13-Oct-14,8.46,8.50,8.11,8.43,38157
10-Oct-14,8.34,8.60,8.34,8.55,26668
9-Oct-14,8.50,8.59,8.40,8.43,18758
8-Oct-14,8.43,8.60,8.40,8.60,32136
7-Oct-14,8.45,8.64,8.31,8.45,9492
6-Oct-14,8.50,8.75,8.47,8.47,10785
3-Oct-14,8.71,8.96,8.45,8.46,25498
2-Oct-14,8.61,8.82,8.52,8.63,17698
1-Oct-14,8.92,8.92,8.57,8.61,39669
30-Sep-14,8.36,8.90,8.25,8.87,150740
29-Sep-14,8.27,8.35,8.25,8.30,24968
26-Sep-14,8.31,8.43,8.31,8.35,9317
25-Sep-14,8.38,8.39,8.30,8.31,14448
24-Sep-14,8.41,8.54,8.37,8.47,10298
23-Sep-14,8.45,8.53,8.40,8.45,34678
22-Sep-14,8.70,8.76,8.13,8.44,86331
19-Sep-14,9.00,9.00,8.68,8.68,44126
18-Sep-14,8.85,9.00,8.77,8.93,29684
17-Sep-14,8.81,9.09,8.81,8.89,14374
16-Sep-14,8.80,8.94,8.80,8.84,26495
15-Sep-14,8.81,8.82,8.67,8.80,40983
12-Sep-14,8.83,8.97,8.80,8.83,16876
11-Sep-14,9.00,9.00,8.80,8.80,40232
10-Sep-14,8.96,9.10,8.89,8.99,16250
9-Sep-14,8.87,9.05,8.81,8.91,24186
8-Sep-14,8.65,9.15,8.65,8.90,36554
5-Sep-14,8.76,9.27,8.66,8.92,22952
4-Sep-14,8.71,8.87,8.65,8.77,13580
3-Sep-14,8.91,9.00,8.71,8.73,23317
2-Sep-14,8.82,9.03,8.78,8.97,14060
29-Aug-14,8.73,8.86,8.65,8.76,14597
28-Aug-14,8.65,9.00,8.65,8.69,24893
27-Aug-14,8.83,8.89,8.65,8.71,7654
26-Aug-14,8.65,8.90,8.65,8.85,18757
25-Aug-14,8.67,8.82,8.41,8.67,15558
22-Aug-14,8.57,8.73,8.47,8.72,16190
21-Aug-14,8.50,8.64,8.42,8.56,13074
20-Aug-14,8.83,8.88,8.45,8.55,24649
19-Aug-14,8.98,8.99,8.79,8.92,9791
18-Aug-14,9.00,9.00,8.83,8.98,16083
15-Aug-14,9.12,9.12,8.84,8.93,15477
14-Aug-14,9.02,9.30,8.90,9.00,16557
13-Aug-14,8.71,9.00,8.45,8.99,31759
12-Aug-14,8.93,9.00,8.66,8.97,7529
11-Aug-14,8.87,9.00,8.81,9.00,23253
8-Aug-14,8.77,8.90,8.68,8.83,25380
7-Aug-14,8.71,8.95,8.43,8.79,29507
6-Aug-14,8.69,8.91,8.55,8.74,20947
5-Aug-14,8.73,8.93,8.65,8.77,12284
4-Aug-14,8.81,8.85,8.29,8.80,37017
1-Aug-14,8.91,9.04,8.80,8.84,33820
31-Jul-14,9.08,9.14,8.90,8.91,39403
30-Jul-14,9.18,9.24,9.00,9.17,36721
29-Jul-14,9.24,9.30,9.03,9.11,12169
28-Jul-14,9.21,9.35,9.02,9.27,18703
25-Jul-14,9.30,9.32,9.09,9.21,42708
24-Jul-14,9.38,9.48,9.26,9.33,10947
23-Jul-14,9.48,9.54,9.10,9.34,59581
22-Jul-14,9.25,9.68,9.21,9.38,48955
21-Jul-14,9.37,9.37,9.06,9.23,34669
18-Jul-14,9.26,9.47,9.21,9.39,37907
17-Jul-14,9.28,9.40,9.25,9.31,48143
16-Jul-14,9.36,9.40,9.28,9.36,33438
15-Jul-14,9.40,9.49,9.25,9.35,52982
14-Jul-14,9.34,9.57,9.34,9.40,52434
11-Jul-14,9.38,9.45,9.28,9.29,28971
10-Jul-14,9.65,9.69,9.39,9.43,18151
9-Jul-14,9.80,9.92,9.67,9.77,28313
8-Jul-14,9.78,9.89,9.61,9.78,50018
7-Jul-14,9.76,10.00,9.60,9.74,66558
3-Jul-14,9.80,9.83,9.65,9.78,10723
2-Jul-14,9.75,9.94,9.68,9.81,86109
1-Jul-14,9.50,9.79,9.25,9.76,77278
30-Jun-14,9.16,9.62,9.16,9.50,85469
27-Jun-14,9.18,9.53,8.91,9.17,1240427
26-Jun-14,9.27,9.50,8.74,9.20,115806
25-Jun-14,9.40,9.63,9.24,9.35,29954
24-Jun-14,9.34,9.65,9.30,9.40,53238
23-Jun-14,9.40,9.67,9.32,9.45,45856
20-Jun-14,9.13,9.49,9.11,9.40,270455
19-Jun-14,9.25,9.29,8.90,9.25,20149
18-Jun-14,9.25,9.31,8.94,9.31,24209
17-Jun-14,9.32,9.32,9.12,9.25,17096
16-Jun-14,8.98,9.49,8.98,9.32,65035
13-Jun-14,9.25,9.25,8.76,9.07,73190
12-Jun-14,9.53,9.58,8.73,9.36,39296
11-Jun-14,9.59,9.60,9.31,9.59,15171
10-Jun-14,9.78,9.89,9.43,9.62,40060
9-Jun-14,9.53,9.83,9.49,9.76,66438
6-Jun-14,9.40,9.50,9.32,9.49,23114
5-Jun-14,9.25,9.30,9.22,9.26,34498
4-Jun-14,9.22,9.25,9.05,9.22,17064
3-Jun-14,9.24,9.29,8.60,9.22,240598
2-Jun-14,8.91,9.25,8.90,9.10,48112
30-May-14,8.79,9.00,8.54,8.98,100097
29-May-14,8.80,8.80,8.51,8.70,42084
28-May-14,8.42,8.80,8.42,8.79,25156
27-May-14,8.74,8.74,8.16,8.37,26234
23-May-14,8.62,8.80,8.47,8.69,25765
22-May-14,8.79,8.80,8.49,8.51,9961
21-May-14,8.55,8.80,8.47,8.79,53816
20-May-14,8.15,8.49,8.15,8.47,22722
19-May-14,8.20,8.47,8.20,8.21,13341
16-May-14,8.16,8.25,8.09,8.16,17454
15-May-14,8.12,8.24,8.08,8.20,46916
14-May-14,8.50,8.53,8.04,8.11,32338
13-May-14,8.68,8.68,8.50,8.54,15810
12-May-14,8.75,9.23,8.51,8.63,25587
9-May-14,8.71,8.89,8.56,8.73,21995
8-May-14,8.85,8.86,8.59,8.66,80288
7-May-14,9.05,9.05,8.85,8.93,35720
6-May-14,8.91,8.95,8.90,8.94,13200
5-May-14,8.95,8.95,8.85,8.92,34825
2-May-14,8.83,9.00,8.83,8.95,46995
1-May-14,8.85,8.95,8.75,8.91,35419
30-Apr-14,8.95,9.02,8.76,8.88,27793
29-Apr-14,8.75,9.05,8.75,8.90,23918
28-Apr-14,8.90,9.13,8.75,8.75,29107
25-Apr-14,8.67,8.88,8.67,8.78,7481
24-Apr-14,8.75,8.79,8.51,8.70,18923
23-Apr-14,8.95,9.37,8.50,8.67,74030
22-Apr-14,8.56,8.90,8.38,8.89,44615
21-Apr-14,8.34,8.50,8.25,8.50,36991
17-Apr-14,8.25,8.25,8.23,8.25,11133
16-Apr-14,8.25,8.49,8.20,8.25,18547
15-Apr-14,7.86,8.25,7.86,8.20,38946
14-Apr-14,7.85,8.04,7.75,7.76,35874
11-Apr-14,8.06,8.12,7.85,7.85,13359
10-Apr-14,8.25,8.25,8.05,8.18,8088
9-Apr-14,8.18,8.25,8.18,8.23,9647
8-Apr-14,8.14,8.24,8.00,8.12,12497
7-Apr-14,8.16,8.27,8.00,8.02,29459
4-Apr-14,8.25,8.30,8.03,8.30,7892
3-Apr-14,8.25,8.40,8.00,8.18,14383
2-Apr-14,8.35,8.42,8.02,8.38,32252
1-Apr-14,8.00,8.10,7.95,7.95,20547
31-Mar-14,7.99,8.41,7.84,7.90,55627
28-Mar-14,7.87,8.02,7.68,7.75,14606
27-Mar-14,7.77,8.15,7.70,7.72,21441
26-Mar-14,7.92,8.04,7.55,7.81,17989
25-Mar-14,8.32,8.48,7.73,7.99,28405
24-Mar-14,8.36,8.46,8.01,8.25,48705
21-Mar-14,8.42,8.58,8.24,8.24,28258
20-Mar-14,8.44,8.58,8.40,8.42,16468
19-Mar-14,8.45,8.58,8.31,8.44,25343
18-Mar-14,8.30,9.10,8.26,8.33,80135
17-Mar-14,8.27,8.50,8.07,8.15,46669
14-Mar-14,8.12,8.50,7.95,8.07,30950
13-Mar-14,7.86,8.00,7.85,8.00,18607
12-Mar-14,7.89,7.89,7.60,7.79,34543
11-Mar-14,7.55,7.89,7.51,7.62,55324
10-Mar-14,7.54,7.55,7.46,7.55,27519
7-Mar-14,7.55,7.55,7.44,7.50,33931
6-Mar-14,7.39,7.70,7.33,7.49,11182
5-Mar-14,7.51,7.63,7.48,7.49,7072
4-Mar-14,7.16,7.95,7.16,7.40,32708
3-Mar-14,6.87,7.25,6.70,7.25,24353
28-Feb-14,6.84,6.90,6.68,6.80,127174
27-Feb-14,6.85,6.85,6.74,6.84,4386
26-Feb-14,6.63,6.84,6.63,6.80,11053
25-Feb-14,6.95,6.95,6.80,6.81,1094
24-Feb-14,6.84,6.95,6.77,6.94,17034
21-Feb-14,6.78,6.84,6.77,6.79,19546
20-Feb-14,6.80,6.80,6.75,6.80,16354
19-Feb-14,6.64,6.78,6.55,6.74,5029
18-Feb-14,6.47,6.78,6.47,6.64,3063
14-Feb-14,6.80,6.80,6.79,6.79,269
13-Feb-14,6.99,6.99,6.63,6.68,4731
12-Feb-14,6.50,6.93,6.50,6.54,1738
11-Feb-14,6.69,6.99,6.57,6.57,9290
10-Feb-14,6.25,6.45,6.25,6.39,20081
7-Feb-14,6.45,6.49,6.18,6.43,4562
6-Feb-14,6.46,6.54,6.46,6.52,5166
5-Feb-14,6.35,6.40,6.35,6.40,1825
4-Feb-14,6.36,6.41,6.36,6.40,13769
3-Feb-14,6.40,6.42,6.35,6.40,28979
31-Jan-14,6.25,6.40,6.25,6.39,48660
30-Jan-14,6.25,6.48,6.25,6.37,58870
